# Local branches/worktrees compact index
Generated: 2026-07-22T23:08:54+04:00
Repo: /home/sjors/dev/astro-plan
Branches total: 515 | Attached: 12 | Orphaned: 503
Detached worktree snapshots: 3
Worktrees total: 15 | Attached: 12 | Detached: 3

## 1) Branches
idx | state | branch | upstream | status | file_count | sample_changed_paths
156 | orphaned | ds/01-rename-pv | origin/main | [ahead 948, behind 77] | 760 | .agents/skills/beads/SKILL.md, .agents/skills/beads/agents/openai.yaml, .agents/skills/speckit-analyze/SKILL.md
157 | orphaned | ds/02-a11y | origin/ds/02-a11y | (none) | 0 | (none)
158 | orphaned | ds/03-themes | origin/ds/03-themes | (none) | 0 | (none)
159 | orphaned | ds/04-foundation | origin/ds/04-foundation | [gone] | n/a | [upstream missing]
160 | attached | ds/05a-sync-hygiene | origin/ds/05a-sync-hygiene | (none) | 0 | (none)
161 | orphaned | ds/06-destructive | origin/ds/06-destructive | [gone] | n/a | [upstream missing]
162 | orphaned | ds/08-dark-default | origin/ds/08-dark-default | (none) | 0 | (none)
163 | orphaned | e2e-b1-inbox | origin/main | [ahead 622, behind 77] | 2130 | .agents/skills/architecture-decision-records/SKILL.md, .agents/skills/audit-steering/SKILL.md, .agents/skills/audit-steering/references/measurement.md
164 | orphaned | e2e-b2-cleanup-archive | origin/main | [ahead 622, behind 77] | 2130 | .agents/skills/architecture-decision-records/SKILL.md, .agents/skills/audit-steering/SKILL.md, .agents/skills/audit-steering/references/measurement.md
165 | orphaned | e2e-b3-lifecycle | origin/main | [ahead 628, behind 77] | 2129 | .agents/skills/architecture-decision-records/SKILL.md, .agents/skills/audit-steering/SKILL.md, .agents/skills/audit-steering/references/measurement.md
166 | orphaned | e2e-b4-calibration | origin/main | [ahead 628, behind 77] | 2129 | .agents/skills/architecture-decision-records/SKILL.md, .agents/skills/audit-steering/SKILL.md, .agents/skills/audit-steering/references/measurement.md
167 | orphaned | e2e-b5-targets | origin/main | [ahead 628, behind 77] | 2129 | .agents/skills/architecture-decision-records/SKILL.md, .agents/skills/audit-steering/SKILL.md, .agents/skills/audit-steering/references/measurement.md
168 | orphaned | e2e-b6-settings | origin/main | [ahead 628, behind 77] | 2129 | .agents/skills/architecture-decision-records/SKILL.md, .agents/skills/audit-steering/SKILL.md, .agents/skills/audit-steering/references/measurement.md
169 | orphaned | e2e-b7-housekeep | origin/main | [ahead 628, behind 77] | 2126 | .agents/skills/architecture-decision-records/SKILL.md, .agents/skills/audit-steering/SKILL.md, .agents/skills/audit-steering/references/measurement.md
170 | orphaned | e2e-mocks-enhance | origin/main | [ahead 626, behind 77] | 2129 | .agents/skills/architecture-decision-records/SKILL.md, .agents/skills/audit-steering/SKILL.md, .agents/skills/audit-steering/references/measurement.md
